job_title,company_name,position_type,job_location,skills,experience
Snowflake Data Engineer,Aditi Tech Consulting Private Limited,Full time,Remote,"snowflake,IDMC,Airflow,Etl,Python",3-13 Years
Sr. Data Engineer | Permanent WFH/Remote,WovV Technologies (Division of Techno compass consulting Pvt Ltd),"Work From Home, Full time","Chennai, Mumbai","data pipeline implementations,snowflake,Data Engineer,Cloud Infrastructure",4-10 Years
Data engineer,Smart Stream Technologies,Full time,Coimbatore,"AWS,Azure,Gcp,Hadoop,Spark,Etl,Sql",8-18 Years
Data Engineer,Mitchell Martin India Private Limited,Full time,Bengaluru / Bangalore,"Data,snowflake,Redshift,Hadoop,AWS,Python,Pyspark",5-8 Years
Data Engineer,It Open Doors Private Limited,"Jobs for Women, Work From Home, Full time","Gurgaon / Gurugram, Hyderabad / Secunderabad, Telangana","Pyspark,Sql,databricks",2-12 Years
Data Engineer,Company name confidential,Full time,"Bengaluru / Bangalore, Noida","Databricks,Pyspark,Python,Sql,AWS,Amazon Web Service",5-10 Years
AWS Data Engineer,Teamware Solutions (A Division of Quantum Leap Consulting Pvt. Ltd.),Full time,Pune,"Datalake,AWS,Redshift",6-12 Years
Azure Data Engineer,Company name confidential,Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana","Adf,Azure Data Bricks,Azure Data Lake,Pyspark",5-13 Years
Data Engineer,It Open Doors Private Limited,Full time,"Gurgaon / Gurugram, Hyderabad / Secunderabad, Telangana","Spark,Sql,Azure,aws,Databricks",3-8 Years
Cloud BI Data Engineer,NTT Data,Full time,"Noida, India","AWS Postgres,Airflow,Tabelau,Sql,Agile,Python,Data Modelling",0-2 Years
Data Engineer,Activision Blizzard,Full time,"Hyderabad / Secunderabad, Telangana, India","snowflake,Airflow,ETL processes,Sql,BigQuery,Data Modeling",2-4 Years
Data Engineer- Celonis,Cardinal Health,Full time,"Bengaluru / Bangalore, India","data retrieval,KPI,Distribution,process mining platform,data models",3-5 Years
"Senior Data Engineer, EF Data and Analytics Product Enablement [T500-9007]",Bristol Myers Squibb,Full time,"Hyderabad / Secunderabad, Telangana, India","Data Lakes,Ai,Data APIs,Ml,PostgreSQL,Sql,Data Quality,Devops",5-7 Years
